Name,Location,Rating,Services,Popularity,Verified,Phone number
"Mnm Pet Clinic in Nalasopara West, Mumbai","Shop No-17, Bhavesh Commercial Complex, 4th Road, Shriprastha, Nalasopara West, Palghar - 401203",3.7,Veterinary Doctors in Mumbai; Dog Trainers in Mumbai; ,17,FALSE,8779503204
"Sparsh Pet Clinic in Seawoods, Mumbai","Plot No 60/61, Shop No 2, Ground Floor, Baba Sharan Co Oporative Housing Society  Ltd, Sector No 44, Seawoods, Navi Mumbai - 400706, Behind HP Petrol Pump",4.3,General Physician Doctors in Mumbai; Pet Clinics in Mumbai; ,103,FALSE,9820576586
"Mobile Pet Care Services in Dhokali-Thane West, Mumbai","Yashasvi Nagar, Dhokali-Thane West, Thane - 400607",5,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,10,FALSE,7947186021
"Dr. Raju Kokane in Andheri West, Mumbai","Building No 11, Room No-432, Ganesh Co-Operative Housing Society, New Link Road, Andheri West, Mumbai - 400053, D N Nagar, Ganesh Chowk",4.8,General Physician Doctors in Mumbai; Veterinary Doctors in Mumbai; ,16,TRUE,9892104845
"Dr. Dagli Pet Animal Clinic in Mira Road, Mumbai","Shop No 15, Sheetal Unique, Sheetal Nagar, Mira Road, Thane - 401107, Behind MTNL, Near Apurva Restaurant",4.5,Veterinary Doctors in Mumbai; Pet Shops For Dog in Mumbai; ,172,FALSE,9821360850
"Dr. Nitish Puro Veterinary and Dairy Consultant in Badlapur, Mumbai","A-102, Aditya Vishwa Complex  Chandroday Tower, Near  Ambedkar Chowk Katrap, Badlapur, Thane - 421503",5,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,2,FALSE,7263954309
"Critter Care Veterinary Clinic in Andheri West, Mumbai","Shop No 4,Wellington Apt, Shastri Nagar Road No 2, Andheri West, Mumbai - 400053, Near Lokhandwala Circle",4,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,1,FALSE,7947456894
"Dr. Pooja J Thakur in Matunga East, Mumbai","265 Balkrishna Niwas, Laxmi Nappu Road, Matunga East, Mumbai - 400019, Near Welingkar College and Matunga Gymkhana Next to Cafe Gulshan Snow Point Nr Matunga Central Railw",4.4,General Physician Doctors in Mumbai; Veterinary Doctors in Mumbai; ,70,FALSE,7947172896
"Pawz Up in Chembur East, Mumbai","8 Mani Bhavan, Chembur East, Mumbai - 400071, Near Diamond Garden And  Yogi Hotel",4.3,Pet Shops in Mumbai; Pet Shops For Dog in Mumbai; ,52,FALSE,7947177767
"Sai Vet Clinic in Kalyan East, Mumbai","Near Regency and Shivsena Office, Chakki Naka, Haji Malang Road, Kalyan East, Thane - 421306, Near Bhima Shankar Temple",3.7,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,39,TRUE,7947176323
"New Life Pets Care Center in Khadakpada-kalyan West, Mumbai","Shop No 8, Sai Vinayak Residency, Birla College Road, Khadakpada-kalyan West, Kalyan - 421301, Opposite Gurudev NX",4.2,Veterinary Doctors in Mumbai; Pet Care Takers in Mumbai; ,57,FALSE,7947174456
"Pet Animal Clinic in Dahisar, Mumbai","Shop No 7, Rameshwaram Building, Dahisar, Mumbai - 400068, Near Corporation Bank, Behind Anand Nagar",4,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,77,TRUE,7947171021
"Shree Pet Care Multispeciality Clinic And Article in Sanpada, Mumbai","Shop No 4 & 5,  Shree Chintamani Co-Operative Housing Society, Sanpada, Navi Mumbai - 400703, Near Hdfc Bank, Opposite Sadhu Vaswani School, Sector 14",4.2,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,83,FALSE,7947177459
"Pawsplus in Borivali West, Mumbai","Shop No 10, Bhavdevi Compound, New Link Road, Borivali West, Mumbai - 400103, Near Vintage Football Club",4,Veterinary Doctors in Mumbai; Pet Food Dealers in Mumbai; ,103,TRUE,9029019499
"Urban Paws Pet Clinic By Dr.Adarsh Bijapur in Khar West, Mumbai","Shop No 95/5,, Dr Ambedkar Road-Khar West, Khar West, Mumbai - 400052, Opp Ambedkar Statue",4.7,Veterinary Doctors in Mumbai; Veterinary Medicine Retailers in Mumbai; ,30,FALSE,7947181754
"Navi Mumbai Animal Clinic & Pet Shop in Vashi, Mumbai","B-2/4/6, Sector 16, Vashi, Navi Mumbai - 400703, Near Fire Brigade",4,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,35,FALSE,7947168271
"Cure And Care Clinic in Nerul, Mumbai","Shop No 5, Sagar Darshan Co-operative Housing Society, Palm Beach Road, Nerul, Navi Mumbai - 400706, Near Plot No 38, Sector 18",4.7,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,108,FALSE,7588428295
"Dr. Leles Pet Clinic in Dadar East, Mumbai","788, Avanvai Mansion, Dadar East, Mumbai - 400014, Parsi Colony, Near RTI Shop",4.5,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,22,FALSE,7947457347
"Shree Sai Pets Clinic & Surgery Centre in Malad East, Mumbai","Shop No 2, Near Kali Mata Temple, Film City Road, Malad East, Mumbai - 400097, Opposite Vagheshwari Temple",4,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,48,FALSE,7947462491
"Jiya Pet Care in Vasai East, Mumbai","Shop No-9, Shubham Apartment, Yashwant Viva Township, Vasai East, Palghar - 401208, Near D Mart, Opposite- Shanti Life Space",4.4,Pet Shops in Mumbai; Pet Shops For Dog in Mumbai; ,67,FALSE,9860363268
"Dr. Aarti Pet Care in Kopar Khairane Sector 16, Mumbai","Proviso Tower ,shop No .10, Plot No.14, Sector 16, Kopar Khairane Sector 16, Navi Mumbai - 400709",4,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,14,FALSE,7947185757
"Navi Mumbai Animal Clinic & Pet Shop in Vashi, Mumbai","B-2/4/6, Sector 16, Vashi, Navi Mumbai - 400703, Near Fire Brigade",4,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,35,FALSE,7947168271
"Dr. Vinod Chavan in Mulund West, Mumbai","Shop No 702, Jain Mandir Road, Mulund West, Mumbai - 400080, Near Raja Industries, Fortis Hospital",3.9,General Physician Doctors in Mumbai; Veterinary Doctors in Mumbai; ,72,TRUE,9220343899
"Dr. Raju Kokane in Andheri West, Mumbai","Building No 11, Room No-432, Ganesh Co-Operative Housing Society, New Link Road, Andheri West, Mumbai - 400053, D N Nagar, Ganesh Chowk",4.8,General Physician Doctors in Mumbai; Veterinary Doctors in Mumbai; ,16,TRUE,9892104845
"Critter Care Veterinary Clinic in Mahim, Mumbai","A G -7, Laxmi Niwas, J  K Sawant Marg, Mahim, Mumbai - 400016, Near Shivaji Park",4.6,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,113,TRUE,7947178690
"Dr. Jagdish Pendkar in Oshiwara, Mumbai","Flat No 202, Building No 2C, Harmony Co Operative Housing Society, Patli Putra Link Road, Oshiwara, Mumbai - 400102, Near Oshiwara Depot",3.9,Veterinary Doctors in Mumbai; Veterinary Doctors For Abortion in Mumbai; ,12,TRUE,9821255157
"Dr. Asha Makde Pet Clinic in Chembur East, Mumbai","Plot No 19 Neelkanth Shopping Centre, R C Marg, Chembur East, Mumbai - 400071, Opposite Fine Art Gallery",4.2,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,86,FALSE,9820058388
"Mahalaxmi Animal Centre in Mahalaxmi, Mumbai","Shop No 7, Rasul Jiva Compound, K K Marg, Mahalaxmi, Mumbai - 400011, Near Godrej Tower",3.8,Pet Shops in Mumbai; Pet Shops For Dog in Mumbai; ,55,FALSE,9223322556
"Pet  Cure & Care Surgical Center in Kalyan West, Mumbai","Ganesh Dham, Shop No 4,, Adharwadi Durgadi Highway, Wadeghar Cirlce,, Kalyan West, Thane - 421301, Near Sonavane College,",4.5,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,154,TRUE,8007414657
"Pets N Vets in Vashi, Mumbai","S/1-10, Janata Bazar, Sector 7, Vashi, Navi Mumbai - 400703, Near Wockhadt Sterling Hotspital",4.1,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,15,TRUE,9833792777
"Dr. Rubab M Chaudhari (Khushi Vet Polyclinic) in Belavali-badlapur, Mumbai","Shop No 09, Sai Ram Society, Datta Chowk, Belavali-badlapur, Thane - 421503, Near Urvashi Hotel",4.8,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,63,FALSE,9822742161
"Bai Sakerbai Dinshaw Petit Hospital in Parel, Mumbai","C/O Bombay Society For The Prevention Of Cruelty to Animals, Dr.  S S Rao Road, Parel, Mumbai - 400012, Behind Mahatma Gandhi Hospital, Opposite M D College",3.9,Veterinary Doctors in Mumbai; 24 Hours Veterinary Doctors in Mumbai; ,2970,TRUE,022 24135518
"Happy Tails Veterinary Speciality in Khar West, Mumbai","Shop No 1/2, Mangal Smruti Building 414, 14th Road, Khar West, Mumbai - 400052",4.4,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,778,TRUE,9820144205
"Society For The Prevention Of Cruelty To Animals in Azad Nagar-Thane West, Mumbai","NKT Compound, Kolshet Road, Azad Nagar-Thane West, Thane - 400607, Besides Bhramand Complex, Behind Shani Temple, Opposite Bhavani Mata Mandir",3.8,Animal Welfare Organisations in Mumbai; NGOS in Mumbai; ,719,TRUE,087676 12344
"Dr. Dave Pet Clinic in Borivali West, Mumbai","Shop No 2/101  Avirahi Home Building No 4, Borivali West, Mumbai - 400103, T P Hotel, Next to CP Goyenka School IC Colony",4.3,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,635,TRUE,8356961917
"Mumbai Pet Shop and Pet Clinic in Prabhadevi, Mumbai","Shop No 6, Bhiku Building,, Near Aakaar - Idols & Temples, Prabhadevi, Mumbai - 400025, Veer Savarkar Marg",4.6,Pet Shops in Mumbai; Pet Shops For Dog in Mumbai; ,533,TRUE,9664375619
"Dr. Deepa Katyal in Chembur East, Mumbai","Shop No 8, Waman Apartment, Pushpanjali Co-Operative Housing Society, Ghatle Village Road, Chembur East, Mumbai - 400071",4.2,General Physician Doctors in Mumbai; Veterinary Doctors in Mumbai; ,423,TRUE,9819742557
"Pluto Pet Clinic in Andheri East, Mumbai","Shop No 3, Gold Corner, Mahakali Caves Road, Andheri East, Mumbai - 400093, Near.pankaj classes",4.1,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,409,TRUE,022 28343182
"Pluto Pet Clinic in Andheri East, Mumbai","Shop No 12, Dheeraj Garden Co-operative Housing Society, Mahakali Caves Road, Andheri East, Mumbai - 400093, Opposite ALM Park",4.1,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,409,TRUE,9821512569
"Dr. M S Chousalkar (Top Dog Healthcare Pvt Ltd) in Andheri West, Mumbai","C/o Top Dog Healthcare Pvt Ltd, Plot No 23, Shah Industrial Estate, Andheri West, Mumbai - 400053, Near Millenium Toyoya, Off Veera Desai Road",4.5,Veterinary Doctors in Mumbai; ,386,TRUE,022 49706306
"Vasai Multispeciality Pet Clinic in Vasai West, Mumbai","4 New Bhavana Apartment, 100 Feet Road Lane No 5, Vasai West, Palghar - 401201, Near Bikaner Sweets",3.7,Veterinary Doctors in Mumbai; Veterinary Hospitals in Mumbai; ,383,FALSE,7045767121
"Indira Pets Clinic in Mira Road, Mumbai","Coral 1, Tower Shop No1,3,4, Off Mira Bhayandar Road, Mira Road, Thane - 401107, Near Sardar Vallabhbhai Patel School,Shivar Garden,Varshaman Fantasy",4,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,362,FALSE,9820307793
"Dr. C C Wakankars Pet Clinic in Samta Nagar-Kandivali East, Mumbai","162/23, Samta Nagar-Kandivali East, Mumbai - 400101, Near Bus Depot",4,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,361,TRUE,022 28843820
"Chariars Pet Clinic in Thane West, Mumbai","D2, 27 Acre Kothari Compound, Gladys Alwarez Road, Thane West, Thane - 400607, Near Khewra Circle,",4.4,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,355,FALSE,022 25892697
"Dr. Ami Bhatia Pet Care Clinic in Goregaon West, Mumbai","Shop No 6, Acme Complex, Goregaon Mulund Link Road, Goregaon West, Mumbai - 400104, Near Inorbit Mall and Opposite Nirankari Garden",4.2,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,354,FALSE,9869200371
"Crown Vet in Worli, Mumbai","Ground Floor, Atur House, Dr Annie Besant Road, Worli, Mumbai - 400018, Worli Naka, Opposite Bharat Petroleum",4.2,Veterinary Doctors in Mumbai; 24 Hours Veterinary Doctors in Mumbai; ,353,TRUE,8451907402
"Bapatspet Animal Hospital in Thane West, Mumbai","Shop No 1 Merry Apts, Near Holy Cross Convent, Thane West, Thane - 400601",3.5,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,344,FALSE,022 25402872
"Planet Animal Hospital in Thane West, Mumbai","9, Chestnut Plaza, Gladys Alvares Road, Thane West, Thane - 400610, Near D Mart, Opposite Edenwoods",3.8,Hospitals in Mumbai; Veterinary Hospitals in Mumbai; ,332,FALSE,9819785190
"Dr. Vinherkar (pet Health Clinic) in Santacruz East, Mumbai","Shop No2, Asgarali Compound, Next to Powerpack Gym,, Vijaykunj Building Lane, Santacruz East, Mumbai - 400055, Behind Saddiccha Hotel ,Lane Opp.Narayan Electricals.",4.2,Veterinary Doctors in Mumbai; ,330,TRUE,9870243216
"Dr. Ajit Gore in Thane West, Mumbai","Pet Care Veterinary Clinic, Shop No 2, Kirtikar Apartments, Noori Baba Road, Thane West, Thane - 400601, Makhamali Talao, Near Deep Medicals",4.1,General Physician Doctors in Mumbai; Veterinary Doctors in Mumbai; ,316,FALSE,9819224868
"Small And Exotic Animal Hospital in Kandivali West, Mumbai","Shop No 22, Astor Place, Kandivali West, Mumbai - 400067, Opposite Bhavishya Nidhi Bhavan, Sector 3",4.5,Veterinary Doctors in Mumbai; Veterinary Hospitals in Mumbai; ,315,FALSE,9920498984
"Dr. Rina Devs Animal & Bird Clinic in Bandra West, Mumbai","G 1, Hemkund 2, 116 Waterfield Road, Bandra West, Mumbai - 400050, Next to Moti Mahal Restaurant",4.3,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,298,FALSE,9967772829
"Dr. Sangeeta Vengsarkar Shah (Pawsitive Wellness Center) in Shivaji Park-dadar West, Mumbai","Pawsitive Wellness Center, Plot No 137, Vengsarkar House, M B Raut Road No 2, Shivaji Park-dadar West, Mumbai - 400028, Opposite Raja Badhe Police Chowky",4.3,General Physician Doctors in Mumbai; Veterinary Doctors in Mumbai; ,282,FALSE,9619715105
"Dr. Gadges Speciality Vet Clinic in Malad West, Mumbai","Shop No 10 & 11 , Kirit Building, Movie Time Lane, Malad West, Mumbai - 400064, Evershine Nagar",4.1,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,277,TRUE,9821043160
"Dr. Vinayaks Pet Care Clinic in Mira Road, Mumbai","Shop No 4, Sai Pooja Enclave, Deepak Hospital Lane, Mira Road, Thane - 401107, Opposite Ideal Park, Near Orange Hospital",4.6,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,271,FALSE,7900076485
"Petvets Veterinary in Manpada-thane West, Mumbai","101, Biulding No C 1, Soham Plaza, Manpada Service Road, Manpada-thane West, Thane - 400607",4.8,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,260,FALSE,7947167515
"Dr. Anils Pet Animal Clinic in Jogeshwari East, Mumbai","Shop No. 2, Bharat Singh Co Operative Housing Society,, Jogeshwari Vikhroli Link Road, Jogeshwari East, Mumbai - 400060, Opposite Majas Bus Depot, Near Oberoi Spendour",4.6,Veterinary Doctors in Mumbai; 24 Hours Veterinary Doctors in Mumbai; ,235,FALSE,9029102559
"Royal Pet Clinic & Parlour in Mira Road, Mumbai","Shop No.22, Jangid Home Co.Operative Housing Society, Pleasent Park Road, Mira Road, Thane - 401107, Opposite Hetal Park",4.3,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,216,FALSE,9619776442
"In Defence Of Animals in Turbhe, Mumbai","C/O Sanjivani Construction, Turbhe, Navi Mumbai - 400703, Near Turbhe Dumping Ground",3.9,Veterinary Doctors in Mumbai; Veterinary Hospitals in Mumbai; ,212,TRUE,9320056585
"Dr. Banes Pet Clinic in Andheri East, Mumbai","Shop No C/3, Raylon Arcade, Ram Krishna Mandir Marg, Andheri East, Mumbai - 400059, Next to Pidilite Company",4.2,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,202,FALSE,9820695123
"Pets Clinic. in Gorai 2-borivali West, Mumbai","Shop No 1, Gorai Tulsi, Gorai 2, Gorai 2-borivali West, Mumbai - 400092, Near Pragati School",4.4,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,201,FALSE,2228681825
"Swali Pets Clinic in Powai, Mumbai","Shop No 3, Panchvati Building, Powai, Mumbai - 400076, Near S M Shetty School, Panchshrushti Complex",4.2,Veterinary Doctors in Mumbai; Clinics in Mumbai; ,186,FALSE,2225705425
"ARK Veterinary Clinic in Mulund East, Mumbai","Shop No 06 Mahakalidham Building Vidyalaya Marg, Mulund East, Mumbai - 400081",4.5,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,179,FALSE,9930034429
"Dr. D G Dighe (Canine Care Veterinary Clinics) in Vasai West, Mumbai","C/o Canine Care Veterinary Clinics,Shop No B7, Jairaj Nagar Co-Operative Housing Society, 100 Feet Road, Vasai West, Palghar - 401202",4.4,Veterinary Doctors in Mumbai; ,178,FALSE,9823301744
"Dr. Pethes Veterinary Clinic in Borivali West, Mumbai","New Link Rd, Borivali West, Mumbai - 400091",4.4,Veterinary Doctors in Mumbai; Clinics in Mumbai; ,177,FALSE,2228330919
"Acuvet Veterinary Speciality Clinic in Hindu Colony-Dadar East, Mumbai","5A/5B, Shram Sadhana, Plot No 57,, Dr. DV Pradhan Road, Hindu Colony Lane 1, Hindu Colony-Dadar East, Mumbai - 400014, Next to Vidyalankar Classes & Publications",4.8,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,175,TRUE,7506406464
"Pluto Pet Clinic in Orlem-malad West, Mumbai","Shop No 10, Costa Gravas, Sunder Lane, Orlem-malad West, Mumbai - 400064, Next to Prem Chinese Restaurant, J B Colony",4.1,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,168,TRUE,2228808192
"Dr. Bapats Pet Animal Hospital in Kalyan West, Mumbai","Shop No. 7/8 Amrut Park Building, Khadakpada Riad, Kalyan West, Thane - 421301, Near Gate Khadakpada, Amrut Park",3.7,Veterinary Doctors in Mumbai; Veterinary Hospitals in Mumbai; ,165,FALSE,2512212872
"Superpets Small Animal Clinic in Khar West, Mumbai","Shop No 2, Calvary Apartment, Ambedkar Road, Khar West, Mumbai - 400052, Near Bombay Barbeque",4.7,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,159,TRUE,9821112746
"Swali Pets Clinic in Andheri West, Mumbai","33,34 Kartik Complex, Link Road, Andheri West, Mumbai - 400053, Opposite Laxmi Industrial Estate, Behand Solitaire Honda Showroom",4.2,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,155,FALSE,2226338647
"Pet Cure & Care Surgical Center in Kalyan West, Mumbai","Shop No 4 Ganesh Dham, Sonavane  Adharwadi  Highway ,Wadeghar Circle, Kalyan West, mumbai - 421301",4.5,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,154,FALSE,9022582075
"Dr. C S Lele Clinic in Malad West, Mumbai","Shop S 2/7, Malad Kokil Society, S V Road, Malad West, Mumbai - 400064, Sunder Nagar",4.2,General Physician Doctors in Mumbai; Clinics in Mumbai; ,151,FALSE,9769338875
"Vet 4 Ur Pet in Andheri West, Mumbai","10, Sterling Chs, Sundarvan, Off Lokhandwala Road, Andheri West, Mumbai - 400053, Next to Cafe Coffee Day",3.9,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,144,FALSE,9820645906
"Dogs & Cats Veterinary Clinic in Shivaji Park-dadar West, Mumbai","Shop No 1 Matoshree Towers Gr Floor, Padmabai Thakkar Road, Shivaji Park-dadar West, Mumbai - 400028, Near Kohinoor Square",4.1,Veterinary Doctors in Mumbai; Cat Food Retailers in Mumbai; ,143,FALSE,2224380756
"Happy Tails in Govandi East, Mumbai","Shop No 12, Nilkanth Garden, Govandi Road, Govandi East, Mumbai - 400088, Near Station",4,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,141,FALSE,2225553198
"Pluto Pet Clinic in Andheri West, Mumbai","Shop No 4, Parul Apartment, Andheri West, Mumbai - 400053, Near Veera Wine Shop, Jeevan Nagar, Off Vera Desai Road",3.8,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,141,FALSE,2226733413
"Gods Grace Animal Clinic in Kamothe Sector 21, Mumbai",",Shop No 3 Plot No 176 Laxmi Darshan, Sector 21, Kamothe Sector 21, Navi Mumbai - 410206, Near Mindseed Pre School",4.4,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,139,FALSE,9594418759
"Pet Bloom Pet Clinic in Kharghar, Mumbai","Shop No.4 Shelter Complex, Plot No.12 B, Kharghar, Navi Mumbai - 410210, Beside New Shanghai Restaurant, Sector-8",4.7,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,131,TRUE,7350156944
"Dr. Sunita Patel in Juhu, Mumbai","Plot No 3, Varad, New India Society, 12th Road, Juhu, Mumbai - 400049, Near Juhu Scheme",4.5,General Physician Doctors in Mumbai; Veterinary Doctors in Mumbai; ,130,FALSE,2226154082
"Dr. Vikram M Niratle in Mira Road, Mumbai","Shop No 3, Ganesh Building, Sarvodhya Compound, Mira Bhayandar Road, Nr Abhishek Hotel, Mira Road, Thane - 401107, Opposite Old Golden Nest",4.1,General Physician Doctors in Mumbai; Veterinary Doctors in Mumbai; ,130,FALSE,9819544642
"Phoenix Veterinary Specialty in Prabhadevi, Mumbai","Shop No.3, Prithvi Emperor, New Prabhadevi  Road, Prabhadevi, Mumbai - 400025, Next to Prahbhadevi Temple",4.3,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,129,FALSE,2265712326
"Dr. Onkar Pawaskars Pet Clinic in Thane West, Mumbai","Shop No 1, Kanchan Pushp Complex, Ghodbunder Road, Thane West, Thane - 400601, Opposite Suraj Water Park",4.1,Veterinary Doctors in Mumbai; Pet Clinics in Mumbai; ,129,FALSE,2225973100
"Petzone in Mahalaxmi, Mumbai","7/9 Mehar Estate, Dr E Moses Road, Mahalaxmi, Mumbai - 400011, Mahalaxmi Railway Station-Mahalaxmi",4.3,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,127,FALSE,2223545511
"Shamsit Animal Care And Surgery Center in Kharghar, Mumbai","Shop No 2, Hard Rock Chs Ltd, Plot No 6-10, Kharghar, Navi Mumbai - 410210, Near Sector No 7, Next to Maharaja Dining Hall & Famous Biryani, Utsav Chowk",4.6,Veterinary Doctors in Mumbai; Veterinary Clinics in Mumbai; ,124,FALSE,7977432028
